"weight","quantile1","quantile2","quantile3","quantile4","quantile5","quantile6","quantile7","quantile8","quantile9","quantile10","quantile11","quantile12","quantile13","quantile14","quantile15","quantile16","quantile17","quantile18","quantile19","quantile20","quantile21","quantile22","quantile23","quantile24","quantile25","quantile26","quantile27","quantile28","quantile29","quantile30","quantile31","quantile32","quantile33","quantile34","quantile35","quantile36","quantile37","quantile38","quantile39","quantile40","quantile41","quantile42","quantile43","quantile44","quantile45","quantile46","quantile47","quantile48","quantile49","quantile50","quantile51","quantile52","quantile53","quantile54","quantile55","quantile56","quantile57","quantile58","quantile59","quantile60","quantile61","quantile62","quantile63","quantile64","quantile65","quantile66","quantile67","quantile68","quantile69","quantile70","quantile71","quantile72","quantile73","quantile74","quantile75","quantile76","quantile77","quantile78","quantile79","quantile80","quantile81","quantile82","quantile83","quantile84","quantile85","quantile86","quantile87","quantile88","quantile89","quantile90","quantile91","quantile92","quantile93","quantile94","quantile95","quantile96","quantile97","quantile98","quantile99"
"88",0.0200000000000102,0,0,-0.00999999999999091,-0.00999999999999091,-0.0100000000000051,0,0,0,-0.0100000000000051,-0.00999999999999091,0,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0,0,0.0100000000000051,0,0,0,0.00999999999999091,0.00999999999999091,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.0200000000000102,0.019999999999996,0.0200000000000102,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0299999999999869,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.039999999999992,0.039999999999992,0.0400000000000063,0.039999999999992,0.0500000000000114,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.039999999999992,0.0400000000000063,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0600000000000023,0.0700000000000074,0.0900000000000034
"89",0.0200000000000102,0,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,-0.0100000000000051,-0.00999999999999091,0,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0,0,0.0100000000000051,0,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.0200000000000102,0.019999999999996,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0300000000000011,0.0299999999999869,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.039999999999992,0.0400000000000063,0.039999999999992,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0500000000000114,0.0499999999999972,0.0599999999999881,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0700000000000074,0.0700000000000074,0.0900000000000034
"90",0.0200000000000102,0,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,-0.0100000000000051,-0.00999999999999091,0,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0,0,0.0100000000000051,0,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.019999999999996,0.0100000000000051,0.019999999999996,0.019999999999996,0.0300000000000011,0.019999999999996,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0300000000000011,0.0299999999999869,0.0400000000000063,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0499999999999972,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.039999999999992,0.0400000000000063,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0500000000000114,0.0500000000000114,0.0600000000000023,0.0599999999999881,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0999999999999943
"91",0.0300000000000011,0,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,-0.0100000000000051,-0.00999999999999091,0,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0.00999999999999091,0,0.0100000000000051,0,0.0100000000000051,0.0100000000000051,0.019999999999996,0.00999999999999091,0.00999999999999091,0.019999999999996,0.0100000000000051,0.019999999999996,0.019999999999996,0.0100000000000051,0.019999999999996,0.019999999999996,0.0300000000000011,0.019999999999996,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0400000000000063,0.039999999999992,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0500000000000114,0.0500000000000114,0.0600000000000023,0.0599999999999881,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0800000000000125,0.0700000000000074,0.0799999999999983,0.0999999999999943
"92",0.0300000000000011,0,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,-0.0100000000000051,0,0,0,0,0,0,0,0,0.0100000000000051,0.00999999999999091,0,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.00999999999999091,0.00999999999999091,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0400000000000063,0.039999999999992,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0699999999999932,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0800000000000125,0.0700000000000074,0.0799999999999983,0.109999999999999
"93",0.0300000000000011,0,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,0,0,0,0,0,0,0,0,0,0.0100000000000051,0.00999999999999091,0,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.00999999999999091,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0699999999999932,0.0800000000000125,0.0799999999999983,0.0900000000000034,0.109999999999999
"94",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,-0.0100000000000051,0,0,0,0,0,0,0,0,0,0,0,0,0.0100000000000051,0.00999999999999091,0,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.00999999999999091,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.0300000000000011,0.019999999999996,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.039999999999992,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0599999999999881,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0599999999999881,0.0699999999999932,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0800000000000125,0.0799999999999983,0.0900000000000034,0.11999999999999
"95",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,0,0.0100000000000051,0,0.0100000000000051,0.00999999999999091,0,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.00999999999999091,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.039999999999992,0.039999999999992,0.0400000000000063,0.039999999999992,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0500000000000114,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0599999999999881,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0900000000000034,0.0799999999999983,0.0900000000000034,0.11999999999999
"96",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,0,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.00999999999999091,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0400000000000063,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.039999999999992,0.039999999999992,0.0499999999999972,0.039999999999992,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0500000000000114,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0799999999999983,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0900000000000034,0.0900000000000034,0.0999999999999943,0.129999999999995
"97",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0,0,0,0.00999999999999091,0,0,0,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.0100000000000051,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.019999999999996,0.0200000000000102,0.0300000000000011,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0300000000000011,0.0400000000000063,0.0300000000000011,0.0400000000000063,0.0300000000000011,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0400000000000063,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.039999999999992,0.0499999999999972,0.0499999999999972,0.039999999999992,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0699999999999932,0.0799999999999983,0.0799999999999983,0.0800000000000125,0.0799999999999983,0.0799999999999983,0.0900000000000034,0.0900000000000034,0.0999999999999943,0.129999999999995
"98",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,0,0,0,0.0100000000000051,0,0,0.0100000000000051,0.00999999999999091,0,0,0,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.019999999999996,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.0300000000000011,0.0400000000000063,0.0400000000000063,0.0300000000000011,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0499999999999972,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.039999999999992,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0600000000000023,0.0700000000000074,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0799999999999983,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0799999999999983,0.0799999999999983,0.0800000000000125,0.0799999999999983,0.0900000000000034,0.0900000000000034,0.0900000000000034,0.0999999999999943,0.140000000000001
"99",0.0300000000000011,0.00999999999999091,0,0,-0.00999999999999091,0,0,0.00999999999999091,0.0100000000000051,0,0,0.0100000000000051,0.00999999999999091,0,0,0,0.0100000000000051,0.0100000000000051,0.0100000000000051,0.00999999999999091,0.00999999999999091,0.019999999999996,0.00999999999999091,0.0100000000000051,0.0100000000000051,0.019999999999996,0.019999999999996,0.019999999999996,0.019999999999996,0.0200000000000102,0.019999999999996,0.0300000000000011,0.0200000000000102,0.0300000000000011,0.0300000000000011,0.039999999999992,0.0300000000000011,0.039999999999992,0.0400000000000063,0.0400000000000063,0.0300000000000011,0.0400000000000063,0.0400000000000063,0.039999999999992,0.0400000000000063,0.039999999999992,0.0400000000000063,0.0499999999999972,0.0499999999999972,0.0400000000000063,0.0499999999999972,0.039999999999992,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0499999999999972,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0600000000000023,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0699999999999932,0.0699999999999932,0.0700000000000074,0.0799999999999983,0.0799999999999983,0.0799999999999983,0.0700000000000074,0.0700000000000074,0.0799999999999983,0.0799999999999983,0.0799999999999983,0.0800000000000125,0.0799999999999983,0.0900000000000034,0.100000000000009,0.0900000000000034,0.0999999999999943,0.140000000000001
